Time_t,Platform_P,Creator_P,User_P,Rate_Platform,Rate_Creator,Rate_User,Diff_User_Platform,Diff_Platform_Creator,Cum_Change_Platform,Cum_Change_Creator,Cum_Change_User,
0.000 ,0.500 ,0.500 ,0.500 ,10.199 ,37.602 ,20.915 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,
0.000 ,0.497 ,0.489 ,0.506 ,10.419 ,37.224 ,20.909 ,0.009 ,0.008 ,0.003 ,0.011 ,0.006 ,
0.001 ,0.494 ,0.478 ,0.513 ,10.852 ,36.473 ,20.895 ,0.019 ,0.016 ,0.006 ,0.022 ,0.013 ,
0.001 ,0.490 ,0.467 ,0.519 ,11.271 ,35.732 ,20.876 ,0.028 ,0.024 ,0.010 ,0.033 ,0.019 ,
0.001 ,0.487 ,0.456 ,0.525 ,11.676 ,35.000 ,20.854 ,0.038 ,0.031 ,0.013 ,0.044 ,0.025 ,
0.002 ,0.483 ,0.446 ,0.531 ,12.068 ,34.278 ,20.827 ,0.048 ,0.038 ,0.017 ,0.054 ,0.031 ,
0.002 ,0.480 ,0.436 ,0.538 ,12.446 ,33.564 ,20.795 ,0.058 ,0.044 ,0.020 ,0.064 ,0.038 ,
0.002 ,0.476 ,0.426 ,0.544 ,12.811 ,32.861 ,20.760 ,0.068 ,0.050 ,0.024 ,0.074 ,0.044 ,
0.002 ,0.472 ,0.416 ,0.550 ,13.162 ,32.167 ,20.720 ,0.078 ,0.056 ,0.028 ,0.084 ,0.050 ,
0.003 ,0.468 ,0.406 ,0.556 ,13.499 ,31.482 ,20.675 ,0.088 ,0.062 ,0.032 ,0.094 ,0.056 ,
0.003 ,0.464 ,0.397 ,0.563 ,13.823 ,30.807 ,20.627 ,0.099 ,0.067 ,0.036 ,0.103 ,0.063 ,
0.003 ,0.460 ,0.388 ,0.569 ,14.133 ,30.141 ,20.574 ,0.109 ,0.072 ,0.040 ,0.112 ,0.069 ,
0.004 ,0.455 ,0.379 ,0.575 ,14.430 ,29.484 ,20.517 ,0.120 ,0.077 ,0.045 ,0.121 ,0.075 ,
0.004 ,0.451 ,0.370 ,0.581 ,14.713 ,28.837 ,20.456 ,0.130 ,0.081 ,0.049 ,0.130 ,0.081 ,
0.004 ,0.447 ,0.361 ,0.587 ,14.982 ,28.200 ,20.390 ,0.141 ,0.085 ,0.053 ,0.139 ,0.087 ,
0.005 ,0.442 ,0.353 ,0.593 ,15.238 ,27.572 ,20.320 ,0.151 ,0.089 ,0.058 ,0.147 ,0.093 ,
0.005 ,0.437 ,0.345 ,0.599 ,15.480 ,26.953 ,20.246 ,0.162 ,0.093 ,0.063 ,0.155 ,0.099 ,
0.005 ,0.433 ,0.337 ,0.606 ,15.708 ,26.344 ,20.168 ,0.173 ,0.096 ,0.067 ,0.163 ,0.106 ,
0.005 ,0.428 ,0.329 ,0.612 ,15.923 ,25.744 ,20.085 ,0.184 ,0.099 ,0.072 ,0.171 ,0.112 ,
0.006 ,0.423 ,0.321 ,0.618 ,16.124 ,25.154 ,19.998 ,0.194 ,0.102 ,0.077 ,0.179 ,0.118 ,
0.006 ,0.418 ,0.314 ,0.624 ,16.311 ,24.573 ,19.906 ,0.205 ,0.104 ,0.082 ,0.186 ,0.124 ,
0.006 ,0.413 ,0.307 ,0.630 ,16.485 ,24.002 ,19.811 ,0.216 ,0.107 ,0.087 ,0.193 ,0.130 ,
0.007 ,0.408 ,0.299 ,0.635 ,16.646 ,23.440 ,19.711 ,0.227 ,0.109 ,0.092 ,0.201 ,0.135 ,
0.007 ,0.403 ,0.292 ,0.641 ,16.792 ,22.887 ,19.607 ,0.238 ,0.111 ,0.097 ,0.208 ,0.141 ,
0.007 ,0.398 ,0.286 ,0.647 ,16.925 ,22.344 ,19.498 ,0.249 ,0.113 ,0.102 ,0.214 ,0.147 ,
0.008 ,0.393 ,0.279 ,0.653 ,17.045 ,21.810 ,19.386 ,0.260 ,0.114 ,0.107 ,0.221 ,0.153 ,
0.008 ,0.388 ,0.273 ,0.659 ,17.151 ,21.286 ,19.268 ,0.271 ,0.115 ,0.112 ,0.227 ,0.159 ,
0.008 ,0.383 ,0.266 ,0.665 ,17.243 ,20.771 ,19.147 ,0.282 ,0.117 ,0.117 ,0.234 ,0.165 ,
0.008 ,0.378 ,0.260 ,0.670 ,17.321 ,20.266 ,19.022 ,0.293 ,0.118 ,0.122 ,0.240 ,0.170 ,
0.009 ,0.372 ,0.254 ,0.676 ,17.386 ,19.770 ,18.892 ,0.304 ,0.118 ,0.128 ,0.246 ,0.176 ,
0.009 ,0.367 ,0.248 ,0.682 ,17.438 ,19.283 ,18.758 ,0.315 ,0.119 ,0.133 ,0.252 ,0.182 ,
0.009 ,0.362 ,0.242 ,0.687 ,17.475 ,18.806 ,18.619 ,0.325 ,0.119 ,0.138 ,0.258 ,0.187 ,
0.010 ,0.357 ,0.237 ,0.693 ,17.499 ,18.339 ,18.476 ,0.336 ,0.120 ,0.143 ,0.263 ,0.193 ,
0.010 ,0.351 ,0.231 ,0.699 ,17.510 ,17.881 ,18.329 ,0.347 ,0.120 ,0.149 ,0.269 ,0.199 ,
0.010 ,0.346 ,0.226 ,0.704 ,17.507 ,17.432 ,18.178 ,0.358 ,0.120 ,0.154 ,0.274 ,0.204 ,
0.011 ,0.341 ,0.221 ,0.709 ,17.490 ,16.993 ,18.022 ,0.369 ,0.120 ,0.159 ,0.279 ,0.209 ,
0.011 ,0.336 ,0.216 ,0.715 ,17.459 ,16.563 ,17.863 ,0.379 ,0.120 ,0.164 ,0.284 ,0.215 ,
0.011 ,0.330 ,0.211 ,0.720 ,17.415 ,16.143 ,17.698 ,0.390 ,0.119 ,0.170 ,0.289 ,0.220 ,
0.011 ,0.325 ,0.206 ,0.725 ,17.358 ,15.732 ,17.530 ,0.400 ,0.119 ,0.175 ,0.294 ,0.225 ,
0.012 ,0.320 ,0.202 ,0.731 ,17.286 ,15.330 ,17.357 ,0.411 ,0.118 ,0.180 ,0.298 ,0.231 ,
0.012 ,0.315 ,0.197 ,0.736 ,17.201 ,14.938 ,17.180 ,0.421 ,0.118 ,0.185 ,0.303 ,0.236 ,
0.012 ,0.310 ,0.193 ,0.741 ,17.103 ,14.555 ,16.999 ,0.431 ,0.117 ,0.190 ,0.307 ,0.241 ,
0.013 ,0.304 ,0.188 ,0.746 ,16.991 ,14.182 ,16.813 ,0.442 ,0.116 ,0.196 ,0.312 ,0.246 ,
0.013 ,0.299 ,0.184 ,0.751 ,16.865 ,13.819 ,16.624 ,0.452 ,0.115 ,0.201 ,0.316 ,0.251 ,
0.013 ,0.294 ,0.180 ,0.756 ,16.726 ,13.464 ,16.429 ,0.462 ,0.114 ,0.206 ,0.320 ,0.256 ,
0.014 ,0.289 ,0.176 ,0.761 ,16.573 ,13.119 ,16.231 ,0.472 ,0.113 ,0.211 ,0.324 ,0.261 ,
0.014 ,0.284 ,0.172 ,0.766 ,16.406 ,12.784 ,16.028 ,0.482 ,0.112 ,0.216 ,0.328 ,0.266 ,
0.014 ,0.279 ,0.168 ,0.771 ,16.226 ,12.458 ,15.821 ,0.491 ,0.111 ,0.221 ,0.332 ,0.271 ,
0.014 ,0.275 ,0.165 ,0.775 ,16.032 ,12.142 ,15.610 ,0.501 ,0.110 ,0.225 ,0.335 ,0.275 ,
0.015 ,0.270 ,0.161 ,0.780 ,15.824 ,11.835 ,15.394 ,0.510 ,0.109 ,0.230 ,0.339 ,0.280 ,
0.015 ,0.265 ,0.157 ,0.785 ,15.603 ,11.537 ,15.175 ,0.520 ,0.108 ,0.235 ,0.343 ,0.285 ,
0.015 ,0.260 ,0.154 ,0.789 ,15.368 ,11.249 ,14.951 ,0.529 ,0.106 ,0.240 ,0.346 ,0.289 ,
0.016 ,0.256 ,0.151 ,0.794 ,15.120 ,10.970 ,14.722 ,0.538 ,0.105 ,0.244 ,0.349 ,0.294 ,
0.016 ,0.251 ,0.147 ,0.798 ,14.858 ,10.701 ,14.489 ,0.547 ,0.104 ,0.249 ,0.353 ,0.298 ,
0.016 ,0.247 ,0.144 ,0.802 ,14.582 ,10.441 ,14.252 ,0.555 ,0.103 ,0.253 ,0.356 ,0.302 ,
0.017 ,0.243 ,0.141 ,0.807 ,14.293 ,10.190 ,14.011 ,0.564 ,0.101 ,0.257 ,0.359 ,0.307 ,
0.017 ,0.238 ,0.138 ,0.811 ,13.990 ,9.949 ,13.766 ,0.572 ,0.100 ,0.262 ,0.362 ,0.311 ,
0.017 ,0.234 ,0.135 ,0.815 ,13.674 ,9.718 ,13.516 ,0.581 ,0.099 ,0.266 ,0.365 ,0.315 ,
0.017 ,0.230 ,0.132 ,0.819 ,13.344 ,9.496 ,13.262 ,0.589 ,0.098 ,0.270 ,0.368 ,0.319 ,
0.018 ,0.226 ,0.129 ,0.823 ,13.000 ,9.283 ,13.003 ,0.597 ,0.097 ,0.274 ,0.371 ,0.323 ,
0.018 ,0.222 ,0.127 ,0.827 ,12.643 ,9.080 ,12.741 ,0.604 ,0.096 ,0.278 ,0.373 ,0.327 ,
0.018 ,0.219 ,0.124 ,0.831 ,12.272 ,8.886 ,12.474 ,0.612 ,0.095 ,0.281 ,0.376 ,0.331 ,
0.019 ,0.215 ,0.121 ,0.834 ,11.887 ,8.702 ,12.202 ,0.619 ,0.094 ,0.285 ,0.379 ,0.334 ,
0.019 ,0.211 ,0.119 ,0.838 ,11.489 ,8.527 ,11.927 ,0.626 ,0.093 ,0.289 ,0.381 ,0.338 ,
0.019 ,0.208 ,0.116 ,0.841 ,11.077 ,8.361 ,11.647 ,0.633 ,0.092 ,0.292 ,0.384 ,0.341 ,
0.020 ,0.205 ,0.114 ,0.845 ,10.652 ,8.205 ,11.363 ,0.640 ,0.091 ,0.295 ,0.386 ,0.345 ,
0.020 ,0.202 ,0.111 ,0.848 ,10.213 ,8.059 ,11.075 ,0.647 ,0.090 ,0.298 ,0.389 ,0.348 ,
0.020 ,0.199 ,0.109 ,0.852 ,9.767 ,7.920 ,10.784 ,0.653 ,0.090 ,0.301 ,0.391 ,0.352 ,
0.020 ,0.196 ,0.107 ,0.855 ,9.328 ,7.784 ,10.497 ,0.659 ,0.089 ,0.304 ,0.393 ,0.355 ,
0.021 ,0.193 ,0.104 ,0.858 ,8.902 ,7.651 ,10.214 ,0.665 ,0.089 ,0.307 ,0.396 ,0.358 ,
0.021 ,0.190 ,0.102 ,0.861 ,8.490 ,7.518 ,9.937 ,0.670 ,0.088 ,0.310 ,0.398 ,0.361 ,
