time,platform_strategy,creator_strategy,user_strategy
0.000000,0.515118,0.159654,0.994199
0.001201,0.525687,0.168813,0.994349
0.002402,0.536426,0.178199,0.994511
0.003604,0.547320,0.187804,0.994685
0.004805,0.558355,0.197622,0.994869
0.006006,0.569518,0.207646,0.995063
0.007207,0.580795,0.217870,0.995266
0.008408,0.592171,0.228287,0.995477
0.009610,0.603632,0.238891,0.995694
0.010811,0.615164,0.249674,0.995919
0.012012,0.626754,0.260630,0.996148
0.013213,0.638387,0.271753,0.996382
0.014414,0.650049,0.283036,0.996619
0.015616,0.661726,0.294472,0.996859
0.016817,0.673404,0.306054,0.997101
0.018018,0.685069,0.317776,0.997344
0.019219,0.696707,0.329631,0.997587
0.020420,0.708304,0.341613,0.997830
0.021622,0.719846,0.353714,0.998070
0.022823,0.731318,0.365929,0.998308
0.024024,0.742707,0.378250,0.998543
0.025225,0.753999,0.390671,0.998773
0.026426,0.765179,0.403185,0.998999
0.027628,0.776234,0.415786,0.999218
0.028829,0.787150,0.428467,0.999430
0.030030,0.797912,0.441221,0.999635
0.031231,0.808283,0.454587,1.000014
0.032432,0.818244,0.467767,1.000436
0.033634,0.827761,0.480635,1.000524
0.034835,0.837589,0.493465,1.000999
0.036036,0.846443,0.507033,1.000742
0.037237,0.856125,0.520001,1.000935
0.038438,0.866378,0.532628,1.000701
0.039640,0.875714,0.545580,1.000431
0.040841,0.883832,0.559335,1.000638
0.042042,0.893226,0.571442,1.000823
0.043243,0.901605,0.586598,1.000564
0.044444,0.910177,0.598625,1.000347
0.045646,0.918852,0.613454,1.000247
0.046847,0.924727,0.625693,0.999948
0.048048,0.930070,0.639674,1.000414
0.049249,0.936627,0.652714,1.001064
0.050450,0.941982,0.663658,1.000937
0.051652,0.948261,0.675509,0.999820
0.052853,0.954081,0.686787,0.999661
0.054054,0.958571,0.698612,0.998977
0.055255,0.963882,0.710111,0.998625
0.056456,0.968979,0.721065,0.998719
0.057658,0.973079,0.732869,0.999152
0.058859,0.978313,0.744535,0.999026
0.060060,0.981506,0.756910,0.998151
0.061261,0.985225,0.768980,0.997865
0.062462,0.988032,0.779885,0.997981
0.063664,0.991125,0.789589,0.998439
0.064865,0.994417,0.799951,0.998703
0.066066,0.996344,0.809857,0.998602
0.067267,0.997377,0.819886,0.998729
0.068468,0.999045,0.828694,0.998900
0.069670,1.000622,0.837101,0.999624
0.070871,1.001286,0.846610,0.999790
0.072072,1.002461,0.855225,1.000318
0.073273,1.001269,0.864582,1.001207
0.074474,1.000948,0.872579,1.001380
0.075676,0.999407,0.880291,1.001376
0.076877,0.997094,0.888573,1.000983
0.078078,0.995550,0.897028,1.000423
0.079279,0.993582,0.905693,1.000146
0.080480,0.991990,0.912457,0.999861
0.081682,0.989613,0.920303,1.000026
